layer,mean_dev_auroc,mean_test_auroc,mean_dev_accuracy,mean_test_accuracy,mean_dev_f1,mean_test_f1
0,0.6721581952662723,0.6654023927514793,0.5151068376068376,0.5140491452991454,0.661494766256671,0.6610381563824976
1,0.6106969563609468,0.6032302773668639,0.5400106837606837,0.532409188034188,0.6685129558697815,0.6662805918067266
2,0.4676463202662722,0.4676269341715976,0.4988888888888889,0.49329594017094014,0.6138173936422248,0.6149802580223717
3,0.5964396375739646,0.5878095894970414,0.5926442307692308,0.5737553418803418,0.6815947797678706,0.6615508723294112
4,0.6212248816568046,0.6358598224852072,0.5881623931623932,0.5866346153846154,0.6725529895482683,0.6791123032218923
5,0.6087071338757397,0.5769940865384615,0.5423183760683761,0.5552884615384615,0.6523811316013363,0.6637923988268468
6,0.6258309245562129,0.5962516863905325,0.5314957264957265,0.5203632478632478,0.6565560723391441,0.6484215734261408
7,0.653356427514793,0.6487769970414201,0.526469017094017,0.5407425213675213,0.6587045322342154,0.6697971790471279
8,0.5786332692307692,0.5984052514792899,0.5435844017094017,0.5381730769230769,0.6692741617561105,0.6622617786868995
9,0.6433200332840237,0.6636638794378698,0.5222809829059829,0.53241452991453,0.6556876242295928,0.6615860996042667
10,0.6437219526627219,0.6202881286982249,0.5360737179487179,0.5376549145299145,0.6684372267046829,0.669995870464256
11,0.7320565828402367,0.6925310946745562,0.5813995726495726,0.565491452991453,0.6850723765959815,0.6769652315473481
12,0.6715266124260355,0.6706429585798817,0.5737820512820513,0.5753525641025641,0.6676084033383387,0.674338410938684
13,0.5953397892011834,0.5815836057692307,0.5736858974358975,0.5690918803418803,0.6555150877195657,0.6495874959208446
14,0.6904539053254437,0.6681353920118343,0.5557211538461538,0.5531837606837606,0.6845492744630591,0.6787000502461743
15,0.5068961797337278,0.4805333431952663,0.4672649572649572,0.4683867521367521,0.570532501290733,0.5773351654384201
16,0.5717013905325443,0.5769066642011835,0.5142628205128205,0.5160576923076923,0.6247437832582231,0.6267991273791329
17,0.6731463313609467,0.6423120192307692,0.5223237179487179,0.535090811965812,0.6552707331236469,0.6618864489105869
18,0.51436900147929,0.48606660502958576,0.5188301282051282,0.525715811965812,0.6165236627413828,0.6183511587153079
19,0.659609726331361,0.6327213979289941,0.585443376068376,0.5846634615384616,0.6593756293951305,0.6579191914461194
20,0.7407870118343194,0.722777048816568,0.637633547008547,0.6398397435897436,0.6945730751178418,0.6989711330451152
21,0.8115978624260354,0.7994259393491123,0.7446474358974359,0.734417735042735,0.7347245317591217,0.7247258634265276
22,0.8200383801775148,0.8205925295857988,0.7222809829059829,0.7128899572649573,0.6700177461245178,0.6495063211819798
23,0.8441328106508875,0.8428294304733728,0.7787767094017094,0.7387767094017094,0.7503522795333945,0.6986063737152464
24,0.8556891568047337,0.8466660798816568,0.7688194444444444,0.7388087606837607,0.7268353773272226,0.6893434290390018
25,0.8659222855029585,0.8611214644970414,0.7815972222222222,0.762948717948718,0.7600969491004013,0.7436730295566503
26,0.8438187204142011,0.8240353994082841,0.7115972222222222,0.7229540598290598,0.7390249752838671,0.7489310268738857
27,0.8534579289940828,0.8326806065088757,0.7042788461538462,0.7020726495726496,0.7505650377990803,0.7500815824160691
