split,n,d1_layer,d2_layer,pearson,spearman
ood_dev,100,25,18,0.6263287008005607,0.6691249272422877
ood_test,100,25,18,0.6081903694325235,0.7127375501803191
all,200,25,18,0.6159308812026125,0.6971737365442187
all,200,0,0,0.0744246670776977,-0.02593090806586484
all,200,1,1,0.179070423375413,0.3097607541042931
all,200,2,2,0.1354447722411313,0.0883178404227712
all,200,3,3,0.07573687797322827,0.12248358767779867
all,200,4,4,0.3042759435132725,0.19479078851641632
all,200,5,5,0.26523119422567676,0.15095429280087683
all,200,6,6,0.30624837351899376,0.20399536332488757
all,200,7,7,0.2709493036521869,0.22089248338849352
all,200,8,8,0.13033749270681363,0.32651423416208314
all,200,9,9,0.23764908140556992,0.23412718747320854
all,200,10,10,0.14241222370233916,0.3115933502778189
all,200,11,11,0.24533259756353545,0.19399109570271006
all,200,12,12,0.3584759693859042,0.31442056796056533
all,200,13,13,0.1421648461401213,0.06262215948722641
all,200,14,14,0.3285625604332564,0.3618444959544298
all,200,15,15,0.13582818862160262,0.07977661408027313
all,200,16,16,0.2618138444908392,0.15412608434123504
all,200,17,17,0.240215910403059,0.36376863986895647
all,200,18,18,0.16621198438652385,0.0419201108829384
all,200,19,19,0.25547962175059097,0.2866545963468032
all,200,20,20,0.3371337259306335,0.4220093415010825
all,200,21,21,0.47861468110996347,0.5479315201852849
all,200,22,22,0.5181883077610435,0.5811829013468857
all,200,23,23,0.43890604251443455,0.5598628363651637
all,200,24,24,0.42271553539599416,0.5287610121668225
all,200,25,25,0.5139570327871283,0.6222069718124111
all,200,26,26,0.5117037178152668,0.6276346323177564
all,200,27,27,0.5663431750325221,0.6887687523719378
