layer,dev_n,dev_refusal,dev_compliance,dev_accuracy,dev_f1,dev_precision,dev_recall,dev_mean_p_refusal,dev_auroc,test_n,test_refusal,test_compliance,test_accuracy,test_f1,test_precision,test_recall,test_mean_p_refusal,test_auroc
0,100,50,50,0.44,0.40425531914893614,0.4318181818181818,0.38,0.4511915445327759,0.39080000000000004,100,50,50,0.39,0.2988505747126437,0.35135135135135137,0.26,0.363467812538147,0.3692
1,100,50,50,0.36,0.21951219512195122,0.28125,0.18,0.348082959651947,0.36119999999999997,100,50,50,0.41,0.2716049382716049,0.3548387096774194,0.22,0.33485686779022217,0.41759999999999997
2,100,50,50,0.49,0.33766233766233766,0.48148148148148145,0.26,0.28935426473617554,0.48439999999999994,100,50,50,0.43,0.24,0.36,0.18,0.2693650722503662,0.48360000000000003
3,100,50,50,0.52,0.5102040816326531,0.5208333333333334,0.5,0.48808014392852783,0.5236,100,50,50,0.49,0.45161290322580644,0.4883720930232558,0.42,0.449401319026947,0.4792
4,100,50,50,0.55,0.5945945945945946,0.5409836065573771,0.66,0.6011292934417725,0.6752,100,50,50,0.62,0.6274509803921569,0.6153846153846154,0.64,0.5258322954177856,0.6528
5,100,50,50,0.6,0.6,0.6,0.6,0.4946576952934265,0.6488,100,50,50,0.65,0.6153846153846154,0.6829268292682927,0.56,0.4440338909626007,0.6936
6,100,50,50,0.56,0.5769230769230769,0.5555555555555556,0.6,0.5116512775421143,0.6132,100,50,50,0.69,0.6804123711340206,0.7021276595744681,0.66,0.45496463775634766,0.7196
7,100,50,50,0.47,0.4421052631578947,0.4666666666666667,0.42,0.44243159890174866,0.4864,100,50,50,0.53,0.43373493975903615,0.5454545454545454,0.36,0.37239786982536316,0.5900000000000001
8,100,50,50,0.47,0.1016949152542373,0.3333333333333333,0.06,0.11230571568012238,0.4724,100,50,50,0.48,0.037037037037037035,0.25,0.02,0.06309450417757034,0.6035999999999999
9,100,50,50,0.52,0.6190476190476191,0.5131578947368421,0.78,0.7305842041969299,0.43799999999999994,100,50,50,0.52,0.6,0.5142857142857142,0.72,0.6894590854644775,0.43879999999999997
10,100,50,50,0.58,0.6440677966101694,0.5588235294117647,0.76,0.6600421071052551,0.5864,100,50,50,0.59,0.6495726495726496,0.5671641791044776,0.76,0.6751415133476257,0.5584
11,100,50,50,0.6,0.6296296296296297,0.5862068965517241,0.68,0.5756605267524719,0.6556,100,50,50,0.63,0.6837606837606838,0.5970149253731343,0.8,0.6688211560249329,0.622
12,100,50,50,0.71,0.7128712871287128,0.7058823529411765,0.72,0.4968588352203369,0.8071999999999999,100,50,50,0.73,0.7476635514018691,0.7017543859649122,0.8,0.5769070982933044,0.7928
13,100,50,50,0.74,0.7346938775510204,0.75,0.72,0.49416232109069824,0.8608,100,50,50,0.79,0.8108108108108109,0.7377049180327869,0.9,0.5923600792884827,0.8604
14,100,50,50,0.76,0.7272727272727273,0.8421052631578947,0.64,0.3705337643623352,0.8364,100,50,50,0.7,0.6808510638297872,0.7272727272727273,0.64,0.44299256801605225,0.8132
15,100,50,50,0.83,0.8131868131868132,0.9024390243902439,0.74,0.39237916469573975,0.9283999999999999,100,50,50,0.81,0.8041237113402062,0.8297872340425532,0.78,0.4569759666919708,0.9108
16,100,50,50,0.8,0.7727272727272727,0.8947368421052632,0.68,0.3709258735179901,0.8904000000000001,100,50,50,0.76,0.7446808510638298,0.7954545454545454,0.7,0.4351157248020172,0.8728
17,100,50,50,0.78,0.725,0.9666666666666667,0.58,0.32004714012145996,0.9332,100,50,50,0.76,0.7333333333333333,0.825,0.66,0.3920537233352661,0.9116
18,100,50,50,0.79,0.7469879518072289,0.9393939393939394,0.62,0.3419945240020752,0.9484,100,50,50,0.82,0.8085106382978723,0.8636363636363636,0.76,0.43212154507637024,0.9116
19,100,50,50,0.82,0.8043478260869565,0.8809523809523809,0.74,0.39529258012771606,0.9284000000000001,100,50,50,0.81,0.8118811881188119,0.803921568627451,0.82,0.48489081859588623,0.8827999999999999
20,100,50,50,0.82,0.7954545454545454,0.9210526315789473,0.7,0.38302889466285706,0.9039999999999999,100,50,50,0.76,0.7551020408163265,0.7708333333333334,0.74,0.4756432771682739,0.858
21,100,50,50,0.85,0.8421052631578947,0.8888888888888888,0.8,0.4523065686225891,0.9408000000000001,100,50,50,0.8,0.8076923076923077,0.7777777777777778,0.84,0.5392588973045349,0.8876
22,100,50,50,0.88,0.88,0.88,0.88,0.51102614402771,0.9420000000000002,100,50,50,0.82,0.8333333333333334,0.7758620689655172,0.9,0.5703614950180054,0.8815999999999999
23,100,50,50,0.81,0.831858407079646,0.746031746031746,0.94,0.6215589642524719,0.8904,100,50,50,0.79,0.8205128205128205,0.7164179104477612,0.96,0.641079843044281,0.8455999999999999
24,100,50,50,0.8,0.8214285714285714,0.7419354838709677,0.92,0.5947189331054688,0.876,100,50,50,0.78,0.8103448275862069,0.7121212121212122,0.94,0.6274236440658569,0.8304
25,100,50,50,0.77,0.7722772277227723,0.7647058823529411,0.78,0.5063804388046265,0.8916000000000001,100,50,50,0.81,0.8256880733944955,0.7627118644067796,0.9,0.5705511569976807,0.872
26,100,50,50,0.77,0.7628865979381443,0.7872340425531915,0.74,0.48801860213279724,0.8764,100,50,50,0.76,0.7692307692307693,0.7407407407407407,0.8,0.5426598191261292,0.8772
27,100,50,50,0.83,0.8411214953271028,0.7894736842105263,0.9,0.5738574862480164,0.9188000000000001,100,50,50,0.85,0.8648648648648649,0.7868852459016393,0.96,0.603493869304657,0.9284
