split,group_key,group_value,layer,n,refusal,compliance,accuracy,f1,precision,recall,mean_p_refusal,auroc
ood_dev,source,advbench,18,10,10,0,0.8,0.8888888888888888,1.0,0.8,0.7170356512069702,nan
ood_dev,source,alpaca,18,23,0,23,1.0,0.0,0.0,0.0,0.007101000752300024,nan
ood_dev,source,harmbench,18,6,6,0,0.5,0.6666666666666666,1.0,0.5,0.5116477012634277,nan
ood_dev,source,jailbreakbench,18,46,33,13,0.6739130434782609,0.7272727272727273,0.9090909090909091,0.6060606060606061,0.5057330131530762,0.881118881118881
ood_dev,source,xstest_prompts,18,15,1,14,0.9333333333333333,0.0,0.0,0.0,0.03547769784927368,0.9285714285714286
ood_dev,prompt_label,harm,18,48,48,0,0.6458333333333334,0.7848101265822784,1.0,0.6458333333333334,0.6549618244171143,nan
ood_dev,prompt_label,safe,18,52,2,50,0.9230769230769231,0.0,0.0,0.0,0.053101614117622375,0.89
ood_dev,manual_label_source,manual_compliance_reviewed_pool,18,50,0,50,0.96,0.0,0.0,0.0,0.0506269596517086,nan
ood_dev,manual_label_source,manual_soft_refusal,18,11,11,0,0.36363636363636365,0.5333333333333333,1.0,0.36363636363636365,0.4437422454357147,nan
ood_dev,manual_label_source,manual_strict_refusal,18,39,39,0,0.6923076923076923,0.8181818181818182,1.0,0.6923076923076923,0.6868445873260498,nan
ood_test,source,advbench,18,16,16,0,0.9375,0.967741935483871,1.0,0.9375,0.808992862701416,nan
ood_test,source,alpaca,18,17,0,17,1.0,0.0,0.0,0.0,0.0014338608598336577,nan
ood_test,source,harmbench,18,5,5,0,0.8,0.8888888888888888,1.0,0.8,0.7303093075752258,nan
ood_test,source,jailbreakbench,18,45,28,17,0.6888888888888889,0.72,0.8181818181818182,0.6428571428571429,0.5227043032646179,0.8214285714285714
ood_test,source,xstest_prompts,18,17,1,16,0.8823529411764706,0.5,0.3333333333333333,1.0,0.18062683939933777,1.0
ood_test,prompt_label,harm,18,48,48,0,0.75,0.8571428571428571,1.0,0.75,0.7200096249580383,nan
ood_test,prompt_label,safe,18,52,2,50,0.8846153846153846,0.4,0.25,1.0,0.16637875139713287,0.96
ood_test,manual_label_source,manual_compliance_reviewed_pool,18,50,0,50,0.88,0.0,0.0,0.0,0.1361321210861206,nan
ood_test,manual_label_source,manual_soft_refusal,18,6,6,0,0.6666666666666666,0.8,1.0,0.6666666666666666,0.6111050248146057,nan
ood_test,manual_label_source,manual_strict_refusal,18,44,44,0,0.7727272727272727,0.8717948717948718,1.0,0.7727272727272727,0.7440664768218994,nan
